1006013-keith_gordon	11
1013435-david_ross	95
1022918-andrew_davis	50
1025643-steve_white	4
1030366-kevin_smith	292
1040928-john_carpenter	204
1040953-nick_castle	43
1041609-michael_gordon	16
1041635-john_gray	6
1041838-tom_holland	203
1042523-george_miller	37
1042742-alan_parker	95
1045216-jim_mckay	44
1045365-mark_rappaport	85
1046415-alan_jacobs	61
1047199-tim_pope	2
1047424-john_walsh	5
1049943-peter_howitt	1
1052316-peter_hewitt	184
1053511-steve_james	101
1054857-peter_duncan	3
1055159-michael_moore	99
1056180-george_pappas	21
1059231-john_waters	19
1061981-bill_clinton	1
1094889-richard_brooks	22
1105876-mark_christopher	5
1146513-tim_reid	140
1147718-paul_hunter	41
1165744-james_mcteigue	157
1176587-larry_clark	156
1178642-jonathan_king	174
1181454-bryan_bertino	9
1185571-robert_cuffley	5
1196862-nick_gomez	152
162659443	260
326391904	1
377794703	11
770756576	1
_0000712	150
_0001949	9
_0069833	40
_0375476	87
_0382147	5
_0389514	49
_0402383	38
_0414302	4
_0442455	16
_0478286	3
_0557501	4
_0602452	280
_0738001	2
_0781341	178
_0941811	141
_1264352	23
aaron_kim_johnston	11
aaron_matthews	57
abbasmustan	18
abel_ferrara	9
abraham_polonsky	92
adam_resnick	79
adrienne_shelly	7
agnes_varda	5
agnieszka_holland	331
ake-sandgren	40
akira_kurosawa	148
al_pacino	36
alan_j_pakula	7
alan_mehrez	11
alan_rudolph	43
alan_smithee	35
alan_taylor	14
albert_hughes	160
albert_pyun	393
alek-keshishian	46
alex_graves	18
alex_proyas	12
alex_zamm	1
alexander_payne	4
alexandre_rockwell	24
alexandre_tarta	28
alfonso_arau	223
alfonso_cuaron	70
alfred_hitchcock	293
alfred_l_werker	27
allan_moyle	9
allison_anders	329
amy_heckerling	13
amy_holden_jones	3
andras-solyom	66
andre_techine	53
andrei_tarkovsky	11
andrew_bergman	98
andrew_douglas	2
andrew_fleming	183
andrew_niccol	1
andrew_scheinman	52
andrew_sipes	175
andy_cadiff	4
andy_tennant	94
andy_wilson_iv	1
ang_lee	303
angela-pope	2
anjelicahuston	3
anne_goursaud	101
annette-haywoodcarter	13
anthony_asquith	170
anthony_mann	10
anthony_minghella	64
anthony_waller	223
antonia_bird	58
antonio_margheriti	1
archie_mayo	18
ari_libsker	31
arlene_sanford	23
arne_glimcher	251
art_clokey	40
arthur_hiller	5
arthur_penn	17
ate_de_jong	26
atom_egoyan	102
augusto_camintino	1
barbara_streisand	3
barbet_schroeder	146
barry_levinson	342
barry_sonnenfeld	208
beeban_kidron	149
ben_sharpsteen	108
ben_stiller	28
benjamin-ross	302
benoit_jacquot	8
bernard_rose	104
bernardo_bertolucci	109
bertrand_tavernier	24
betty_kaplan	57
betty_thomas	36
bill_bennett	223
bill_condon	77
bill_duke	1
bill_forsyth	7
bill_whelan	6
bille_august	165
billy_bob_thornton	2
billy_crystal	309
billy_wilder	390
blake_edwards	48
bo_widerberg	5
boaz_yakin	38
bob_rafelson	2
bob_spiers	28
bobby_farrelly	26
brad_silberling	50
brett_leonard	220
brett_ratner	1
brett_thompson	44
brian_de_palma	126
brian_gibson	345
brian_gilbert	93
brian_henson	33
brian_levant	38
brian_robbins	109
brian_yuzna	4
